season,team_name,location,stadium_name,stadium_capacity,average_attendance,manager_name,promoted,captain
2014/2015,Liverpool,Liverpool (Anfield),Anfield,45276,44658,Brendan Rodgers,False,Steven Gerrard
2014/2015,Manchester City,Manchester (Bradford),City of Manchester Stadium,46708,45411,Manuel Pellegrini,False,Vincent Kompany
2014/2015,Manchester United,Manchester (Old Trafford),Old Trafford,75635,75335,Louis van Gaal,False,Wayne Rooney
2014/2015,Newcastle United,Newcastle upon Tyne,St James' Park,52405,50250,John Carver,False,Fabricio Coloccini
2014/2015,Queens Park Rangers,London (Shepherd's Bush),Loftus Road,18000,17808,Chris Ramsey,True,Clint Hill
2014/2015,Southampton,Southampton,St Mary's Stadium,32505,30652,Ronald Koeman,False,José Fonte
2014/2015,Stoke City,Stoke-on-Trent,Britannia Stadium,27740,27081,Mark Hughes,False,Ryan Shawcross
2014/2015,Sunderland,Sunderland,Stadium of Light,48707,43157,Dick Advocaat,False,John O'Shea
2014/2015,Swansea City,Swansea,Liberty Stadium,20827,20548,Garry Monk,False,Ashley Williams
2014/2015,Tottenham Hotspur,London (Tottenham),White Hart Lane,36284,35727,Mauricio Pochettino,False,Younès Kaboul
2014/2015,West Bromwich Albion,West Bromwich,The Hawthorns,26445,25063,Tony Pulis,False,Darren Fletcher
2014/2015,West Ham United,London (Upton Park),Boleyn Ground,35245,34871,Sam Allardyce,False,Kevin Nolan
2015/2016,Arsenal,London (Holloway),Emirates Stadium,60260,59943,Arsène Wenger,False,Mikel Arteta
2015/2016,Aston Villa,Birmingham,Villa Park,42660,34479,Eric Black (caretaker),False,Micah Richards
2015/2016,Bournemouth,Bournemouth,Dean Court,11464,11188,Eddie Howe,True,Tommy Elphick
2015/2016,Chelsea,London (Fulham),Stamford Bridge,41798,41499,Guus Hiddink (caretaker),False,John Terry
2015/2016,Crystal Palace,London (Selhurst),Selhurst Park,25073,24596,Alan Pardew,False,Mile Jedinak
2015/2016,Everton,Liverpool (Walton),Goodison Park,39571,38051,Roberto Martínez,False,Phil Jagielka
2015/2016,Leicester City,Leicester,King Power Stadium,32312,32020,Claudio Ranieri,False,Wes Morgan
2015/2016,Liverpool,Liverpool (Anfield),Anfield,44742,43901,Jürgen Klopp,False,Jordan Henderson
2015/2016,Manchester City,Manchester (Bradford),City of Manchester Stadium,55097,54020,Manuel Pellegrini,False,Vincent Kompany
2015/2016,Manchester United,Manchester (Old Trafford),Old Trafford,75653,75268,Louis van Gaal,False,Wayne Rooney
2015/2016,Newcastle United,Newcastle upon Tyne,St James' Park,52338,49464,Rafael Benítez,False,Fabricio Coloccini
2015/2016,Norwich City,Norwich,Carrow Road,27010,26972,Alex Neil,True,Russell Martin
2015/2016,Southampton,Southampton,St Mary's Stadium,32505,30750,Ronald Koeman,False,José Fonte
2015/2016,Stoke City,Stoke-on-Trent,Britannia Stadium,27740,27534,Mark Hughes,False,Ryan Shawcross
2015/2016,Sunderland,Sunderland,Stadium of Light,48707,43071,Sam Allardyce,False,John O'Shea
2015/2016,Swansea City,Swansea,Liberty Stadium,20909,20710,Francesco Guidolin,False,Ashley Williams
2015/2016,Tottenham Hotspur,London (Tottenham),White Hart Lane,36284,35807,Mauricio Pochettino,False,Hugo Lloris
2015/2016,Watford,Watford,Vicarage Road,21500,20571,Quique Sánchez Flores,True,Troy Deeney
2015/2016,West Bromwich Albion,West Bromwich,The Hawthorns,26850,24488,Tony Pulis,False,Darren Fletcher
2015/2016,West Ham United,London (Upton Park),Boleyn Ground[a],35345,34906,Slaven Bilić,False,Mark Noble
2016/2017,Arsenal,London (Holloway),Emirates Stadium,60432,59955,Arsène Wenger,False,Laurent Koscielny
2016/2017,Bournemouth,Bournemouth,Dean Court,11464,11182,Eddie Howe,False,Simon Francis
2016/2017,Burnley,Burnley,Turf Moor,22546,20558,Sean Dyche,True,Tom Heaton
2016/2017,Chelsea,London (Fulham),Stamford Bridge,41623,41502,Antonio Conte,False,John Terry
2016/2017,Crystal Palace,London (Selhurst),Selhurst Park,26309,25174,Sam Allardyce,False,Scott Dann
2016/2017,Everton,Liverpool (Walton),Goodison Park,39572,39046,Ronald Koeman,False,Phil Jagielka
2016/2017,Hull City,Kingston upon Hull,KCOM Stadium,25404,20761,Marco Silva,True,Michael Dawson
2016/2017,Leicester City,Leicester,King Power Stadium,32500,31893,Claudio Ranieri,False,Wes Morgan
2016/2017,Liverpool,Liverpool (Anfield),Anfield,54074,53016,Jürgen Klopp,False,Jordan Henderson
2016/2017,Manchester City,Manchester (Bradford),City of Manchester Stadium,55097,54018,Pep Guardiola,False,Vincent Kompany
2016/2017,Manchester United,Manchester (Old Trafford),Old Trafford,76100,75289,José Mourinho,False,Wayne Rooney
2016/2017,Middlesbrough,Middlesbrough,Riverside Stadium,35100,30449,Aitor Karanka,True,Grant Leadbitter
2016/2017,Southampton,Southampton,St Mary's Stadium,32689,30936,Claude Puel,False,Steven Davis
2016/2017,Stoke City,Stoke-on-Trent,Bet365 Stadium[a],28383,27456,Mark Hughes,False,Ryan Shawcross
