player_name,observation_weight,season_count,unweighted_average_hra,weighted_average_hra
Erik Pieters,74,6,0.06687626262626253,0.03445945945945924
Rui Patricio,55,3,0.029736842105263533,0.03472727272727309
Kurt Zouma,57,7,0.050086167800453316,0.03508771929824537
Mousa Dembele,60,8,-0.024501488095237785,0.03683333333333367
John O'Shea,80,8,0.012405257936507907,0.03799999999999991
Charlie Daniels,50,4,-0.049666666666666776,0.03879999999999983
Kasper Schmeichel,127,8,0.05656495642515405,0.04196850393700811
Paul Scharner,31,3,0.04869047619047606,0.04258064516128997
Jack Cork,90,9,0.03594271874973634,0.04266666666666653
Harry Maguire,82,6,0.027105396065922147,0.04329268292682895
Angelo Ogbonna,52,7,0.0010430839002268377,0.044038461538461623
Neil Taylor,47,5,-0.019888095238094983,0.045106382978723575
Wes Morgan,62,5,0.16233816914080065,0.04629032258064504
Fabian Delph,40,7,0.2881632653061228,0.04725000000000036
Adrian Mariappa,31,5,-0.043899999999999294,0.049354838709678085
Jay Rodriguez,40,7,-0.04360544217687084,0.04974999999999978
Nemanja Matic,73,8,0.20423499417249424,0.049999999999999746
Cheick Tiote,36,6,-0.0329695767195767,0.050555555555555735
Ben Godfrey,31,4,0.08125000000000007,0.05096774193548384
Dan Burn,41,4,0.11858878968253925,0.052195121951219246
Ben Davies,68,10,0.008462271062270977,0.05220588235294108
Gary Cahill,103,11,-0.04097314628330668,0.054077669902912774
Joshua King,64,6,0.05285754985754961,0.057656249999999826
Ben Chilwell,46,6,0.24744444444444488,0.057826086956522166
Troy Deeney,56,5,0.15196918767507003,0.0591071428571428
Nelson Semedo,34,3,-0.04908730158730135,0.05970588235294155
Nicolas Otamendi,44,5,0.036961038961038584,0.06090909090909052
Luke Shaw,73,10,0.05368337912087932,0.06123287671232904
Ki Sung-Yeung,39,7,-0.001012987012987259,0.06128205128205073
Tyrick Mitchell,36,3,0.0409305555555548,0.06138888888888822
Ederson,103,6,0.06836540391010199,0.062233009708737796
Younes Kaboul,34,5,-0.062154761904761956,0.062352941176470555
Stephane Sessegnon,51,5,0.04910644257703078,0.06254901960784294
Harvey Barnes,31,4,0.009863553113553344,0.06387096774193578
Ashley Westwood,105,8,0.10660404717723804,0.06428571428571432
Jan Bednarek,51,5,-0.047308377896613144,0.06470588235294127
Aaron Mooy,32,3,0.06901587301587313,0.06531250000000015
Matthew Jarvis,60,6,0.07945043845043849,0.06616666666666685
Pierre-Emile Hojbjerg,84,7,-0.08173466471608902,0.06761904761904748
Gabriel Agbonlahor,63,6,0.09196403133903115,0.06952380952380932
Ruben Dias,30,3,0.06355413105413127,0.07000000000000016
Alexis Sanchez,46,5,0.25218954248366054,0.0706521739130443
Jermain Defoe,57,7,-0.11814463314463312,0.07087719298245634
Chris Smalling,56,8,-0.014470035173160053,0.07142857142857158
Danny Rose,38,8,-0.048975694444444176,0.07236842105263186
Kyle Walker,131,12,0.0811443024568025,0.07251908396946573
Virgil van Dijk,84,6,0.046696741854636854,0.0728571428571433
Ben Foster,147,10,0.04361079213184479,0.07306122448979606
Marcos Alonso,52,7,-0.1300907029478461,0.0732692307692305
James McCarthy,76,9,0.208142439431913,0.07328947368421021
Kyle Naughton,51,6,-0.01661111111111143,0.0760784313725486
Abdoulaye Doucoure,73,7,0.19038935574229715,0.07630136986301392
Ryan Bertrand,87,8,0.07863301282051259,0.07804597701149402
Cheikhou Kouyate,91,9,0.1816802641802645,0.07868131868131886
Jose Fonte,60,5,0.4583531746031745,0.07916666666666664
Declan Rice,82,6,0.1759515311185207,0.07963414634146385
Davinson Sanchez,37,5,0.03873073593073621,0.08027027027027038
Bacary Sagna,66,8,0.06895436507936513,0.08090909090909085
James McArthur,83,10,0.10198447712418277,0.08156626506024045
Tim Krul,85,7,0.086354522670312,0.08329411764705862
Bernd Leno,56,4,0.1061631016042783,0.08625000000000017
Robert Sanchez,30,3,0.22314814814814868,0.08633333333333418
Alisson,78,5,0.10220198535554562,0.0879487179487179
Angel Rangel,45,5,0.09856153846153823,0.08977777777777746
