player_name,observation_weight,season_count,unweighted_average_hra,weighted_average_hra
Andros Townsend,57,8,0.05576860119047611,0.011754385964912233
Andy Carroll,24,6,0.7690873015873013,0.25375
Andy Dawson,16,1,0.19625,0.19625
Andy King,8,3,0.21899999999999972,0.07499999999999926
Andy O'Brien,1,1,-0.3399999999999998,-0.3399999999999998
Andy Reid,2,1,0.0349999999999992,0.0349999999999992
Andy Wilkinson,20,4,0.35949999999999993,0.3814999999999998
Angel Di Maria,5,1,0.2119999999999988,0.2119999999999988
Angel Rangel,45,5,0.09856153846153823,0.08977777777777746
Angelo Ogbonna,52,7,0.0010430839002268377,0.044038461538461623
Angus Gunn,1,1,0.6900000000000004,0.6900000000000004
Anthony Elanga,2,1,0.3849999999999998,0.3849999999999998
Anthony Gardner,7,1,0.1628571428571428,0.1628571428571428
Anthony Gordon,8,1,0.1312499999999996,0.1312499999999996
Anthony Henri Vanden Borre,5,1,0.9500000000000002,0.9500000000000002
Anthony Knockaert,14,2,0.22636363636363654,0.41857142857142904
Anthony Martial,42,7,0.3187835497835498,0.34428571428571403
Anthony Pilkington,16,3,0.23523809523809547,0.21500000000000036
Anthony Reveillere,1,1,-0.7800000000000002,-0.7800000000000002
Antolin Alcaraz,26,4,0.6130000000000004,0.20230769230769258
Anton Ferdinand,23,4,0.6083333333333334,0.4752173913043478
